Name,Category,Location,Website URL,Current Image URL,Image Status
"Lawson's Finest Liquids Brewery",brewery,"155 Carroll Road, Waitsfield, VT",https://www.lawsonsfinest.com/taproom/,https://www.lawsonsfinest.com/wp-content/uploads/2025/12/LFL_Taproom_Night-1.jpg,Real
"Lawson's Original Nanobrewery",brewery,"Warren, VT",https://www.lawsonsfinest.com/about-us/history/,https://images.unsplash.com/photo-1559526642-c3f001ea68ee?w=800,Unsplash
"Two Roads Brewing Company",brewery,"1700 Stratford Ave, Stratford, CT",https://tworoadsbrewing.com/,https://tworoadsbrewing.com/wp-content/uploads/2023/08/tbr.jpg,Real
"Lawson's Finest Taproom",tastingroom,"155 Carroll Road, Waitsfield, VT",https://www.lawsonsfinest.com/taproom/,https://www.lawsonsfinest.com/wp-content/uploads/2025/12/LFL_Taproom_Guests-1.jpg,Real
"The Whale",bar,"507 Haywood Rd, West Asheville, NC",https://thewhalecollective.com/west-asheville-nc/,https://images.unsplash.com/photo-1514933651103-005eec06c04b?w=800,Unsplash
"City Tap House",bar,"2 Logan Square, Philadelphia, PA",https://citytap.com/,https://images.unsplash.com/photo-1572116469696-31de0f17cc34?w=800,Unsplash
"Uptown Beer Garden",bar,"1500 JFK Blvd, Philadelphia, PA",https://www.uptownbeer.com/,https://images.unsplash.com/photo-1555658636-6e4a36218be7?w=800,Unsplash
"Greenwood Park",bar,"555 7th Ave, Brooklyn, NY",https://greenwoodparkbk.com/,https://images.unsplash.com/photo-1571613316887-6f8d5cbf7ef7?w=800,Unsplash
"Stout NYC - Grand Central",bar,"133 W 33rd St, New York, NY",https://stoutnyc.com/,https://images.unsplash.com/photo-1546622891-02c72c1537b6?w=800,Unsplash
"Eli Cannon's Tap Room",bar,"695 Main St, Middletown, CT",https://elicannons.com/,https://images.unsplash.com/photo-1534353473418-4cfa6c56fd38?w=800,Unsplash
"The Red Door",bar,"49 Peck St, Providence, RI",https://reddoorpvd.com/,https://images.unsplash.com/photo-1470337458703-46ad1756a187?w=800,Unsplash
"Five Horses Tavern",bar,"535 Columbus Ave, Boston, MA",https://www.fivehorsestavern.com/,https://images.unsplash.com/photo-1543007630-9710e4a00a20?w=800,Unsplash
"Luna Rooftop",bar,"Canopy Portland Waterfront, Portland, ME",https://lunarooftopbarmaine.com/,https://images.unsplash.com/photo-1527192491265-7e15c55b1ed2?w=800,Unsplash
"Hunt & Alpine Club",bar,"75 Market St, Portland, ME",https://www.huntandalpineclub.com/,https://images.unsplash.com/photo-1525268323446-0505b6fe7778?w=800,Unsplash
"Worthy Burger",bar,"56 Rainbow St, South Royalton, VT",https://worthyvermont.com/,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=800,Unsplash
"The Thirsty Pig",bar,"37 Exchange St, Portland, ME",https://www.thethirstypig.com/,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=800,Unsplash
"Bonfire Country Bar",bar,"24 Preble St, Portland, ME",https://www.bonfirecountrybar.com/,https://images.unsplash.com/photo-1575037614876-c38a4c44842c?w=800,Unsplash
"Moonshine Alley",bar,"293 Atwells Ave, Providence, RI",https://www.moonshinealley.com/,https://images.unsplash.com/photo-1566417713940-fe7c737a9ef2?w=800,Unsplash
"The Scurvy Dog",bar,"1718 Westminster St, Providence, RI",https://www.scurvydogbar.com/,https://images.unsplash.com/photo-1574126154517-d1e0d89ef734?w=800,Unsplash
"McBride's Irish Pub",bar,"161 Wayland Ave, Providence, RI",https://mcbrides-pub.com/,https://images.unsplash.com/photo-1559329009-cd1c8c17f5b2?w=800,Unsplash
"Bostonia Public House",bar,"131 State St, Boston, MA",https://bostoniapublichouse.com/,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,Unsplash
"Stout NYC - Penn Station",bar,"Penn Station Area, New York, NY",https://stoutnyc.com/,https://images.unsplash.com/photo-1514933651103-005eec06c04b?w=800,Unsplash
"Dwyer's Pub",bar,"195 Fleet St, Portsmouth, NH",https://www.dwyerspub.com/,https://images.unsplash.com/photo-1558642452-9d2a7deb7f62?w=800,Unsplash
"McGillin's Olde Ale House",bar,"1310 Drury St, Philadelphia, PA",https://mcgillins.com/,https://images.unsplash.com/photo-1538488881038-e252a119ace7?w=800,Unsplash
"Independence Beer Garden",bar,"100 S Independence Mall W, Philadelphia, PA",https://phlbeergarden.com/,https://images.unsplash.com/photo-1572116469696-31de0f17cc34?w=800,Unsplash
"Barcade",bar,"1326 Chestnut St, Philadelphia, PA",https://barcadephiladelphia.com/,https://images.unsplash.com/photo-1511882150382-421056c89033?w=800,Unsplash
"Bru Craft & Wurst",bar,"1318 Chestnut St, Philadelphia, PA",https://brucraftwurst.com/,https://images.unsplash.com/photo-1600788886242-5c96aabe3757?w=800,Unsplash
"Fado Irish Pub",bar,"1500 Locust St, Philadelphia, PA",https://fadoirishpub.com/philadelphia/,https://images.unsplash.com/photo-1594212699903-ec8a3eca50f5?w=800,Unsplash
"Lawson's Finest Liquids Taproom",retailer,"Waitsfield, VT",https://www.lawsonsfinest.com,https://www.lawsonsfinest.com/wp-content/uploads/2025/12/LFL_Taproom_Night-1.jpg,Real
"Mad River Taste Place",retailer,"Waitsfield, VT",https://madrivervalley.com,https://images.unsplash.com/photo-1584225064785-c62a8b43d148?w=800,Unsplash
"Mehuron's Supermarket",retailer,"Waitsfield, VT",https://www.mehurons.com/,https://images.unsplash.com/photo-1604719312566-8912e9227c6a?w=800,Unsplash
"JD's Quick Stop",retailer,"Hancock, VT",https://www.google.com/search?q=JDs+Quick+Stop+Beer+Cave+Hancock+VT,https://images.unsplash.com/photo-1567696911980-2eed69a46042?w=800,Unsplash
"Craft Beer Cellar - Belmont",retailer,"Belmont, MA",https://craftbeercellar.com,https://images.unsplash.com/photo-1558642452-9d2a7deb7f62?w=800,Unsplash
"Blanchard's Liquors",retailer,"Boston, MA",https://blanchards.net/,https://images.unsplash.com/photo-1527192491265-7e15c55b1ed2?w=800,Unsplash
"Two Roads Brewing Company",retailer,"Stratford, CT",https://tworoadsbrewing.com,https://images.unsplash.com/photo-1532634922-8fe0b757fb13?w=800,Unsplash
"Whole Foods Market - Union Square",retailer,"New York, NY",https://www.wholefoodsmarket.com/stores/unionsquare,https://images.unsplash.com/photo-1534723452862-4c874018d66d?w=800,Unsplash
